apps/dataent/dataent/utils/change_log.py +215,New {} releases for the following apps are available,Seuraavat sovellukset ovat uusia {} -versioita
apps/dataent/dataent/website/doctype/web_form/web_form.py +59,Please select a Amount Field.,Valitse Määrä Field.
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +284,Press Esc to close,Sulje Esc-näppäimellä
apps/dataent/dataent/desk/form/assign_to.py +161,"A new task, {0}, has been assigned to you by {1}. {2}","Uusi tehtävä, {0}, nimetty sinulle {1}. {2}"
DocType: Email Queue,Email Queue records.,Sähköposti Jono kirjaa.
DocType: Address,Punjab,Punjab
apps/dataent/dataent/config/setup.py +126,Rename many items by uploading a .csv file.,nimeä uudelleen useita tuotteita kerrallaan .csv-tiedostosta tuomalla
DocType: Workflow State,pause,Tauko
apps/dataent/dataent/www/desk.py +18,You are not permitted to access this page.,sinulla ei ole oikeutta päästä tälle sivulle
apps/dataent/dataent/integrations/doctype/ldap_settings/ldap_settings.py +33,Seems ldap is not installed on system.<br>Guidelines to install ldap dependancies and python package,Näyttää LDAP ei ole asennettu järjestelmään. <br> Suuntaviivat asentaa ldap dependancies ja python paketti
DocType: About Us Settings,Website,Verkkosivusto
apps/dataent/dataent/www/me.py +14,You need to be logged in to access this page,Sinun täytyy olla kirjautuneena päästäksesi tälle sivulle
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Huomio: Useat istunnot saavat tapauksessa mobiililaitteen
apps/dataent/dataent/core/doctype/user/user.py +690,Enabled email inbox for user {users},Käytössä sähköpostilaatikko käyttäjän {käyttäjille}
apps/dataent/dataent/email/queue.py +252,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Ei voi lähettää tätä sähköpostia. Olet ylittänyt tässä kuussa sähköpostien lähetysrajan {0}.
apps/dataent/dataent/public/js/legacy/form.js +779,Permanently Submit {0}?,Vahvistetaanko pysyvästi {0}?
apps/dataent/dataent/desk/page/backups/backups.js +12,Download Files Backup,Lataa tiedostojen varmuuskopiointi
DocType: Address,County,Lääni
DocType: Workflow,If Checked workflow status will not override status in list view,Valittuna työketjun vaihe ei yliaja vaihetta listanäkymässä
apps/dataent/dataent/client.py +311,Invalid file path: {0},Virheellinen tiedoston polku: {0}
DocType: Workflow State,eye-open,silmä-kiinni
DocType: Email Queue,Send After,Lähetä jälkeen
apps/dataent/dataent/utils/file_manager.py +37,Please select a file or url,Valitse tiedosto tai url
apps/dataent/dataent/public/js/dataent/views/treeview.js +89,{0} Tree,{0} puu
DocType: User,User Emails,Käyttäjä Sähköpostit
DocType: User,Username,Käyttäjätunnus
apps/dataent/dataent/public/js/dataent/views/file/file_view.js +90,Import Zip,Tuo Zip
apps/dataent/dataent/model/base_document.py +563,Value too big,Arvo liian suuri
DocType: DocField,DocField,DocKenttä
DocType: GSuite Settings,Run Script Test,Run Script Test
DocType: Data Import,Total Rows,Yhteensä rivejä
DocType: Contact,Department,Osastot
DocType: DocField,Options,vaihtoehdot
apps/dataent/dataent/client.py +115,Cannot edit standard fields,Peruskenttiä ei voi muokata
DocType: Print Format,Print Format Builder,Tulostusmuodon rakentaja
DocType: GCalendar Account,Calendar Name,Kalenterin nimi
DocType: Report,Report Manager,Raporttien ylläpitäjä
DocType: Workflow,Document States,Dokumentin tilat
apps/dataent/dataent/public/js/dataent/views/pageview.js +104,Sorry! I could not find what you were looking for.,Etsimääsi ei löytynyt
DocType: Data Migration Run,Logs,Lokit
apps/dataent/dataent/templates/emails/recurring_document_failed.html +8,It is necessary to take this action today itself for the above mentioned recurring,On välttämätöntä toteuttaa tämä toiminta itsestään edellä mainittujen toistuvasti
DocType: Custom DocPerm,This role update User Permissions for a user,Tämä rooli päivittää käyttöoikeudet käyttäjälle
apps/dataent/dataent/public/js/dataent/model/model.js +538,Rename {0},Nimeä {0}
DocType: Workflow State,zoom-out,loitonna
apps/dataent/dataent/public/js/legacy/form.js +66,Cannot open {0} when its instance is open,ei voi avata {0} sillä esimerkki on auki
apps/dataent/dataent/model/document.py +1092,Table {0} cannot be empty,Taulukko {0} ei voi olla tyhjä
DocType: SMS Parameter,Parameter,Parametri
apps/dataent/dataent/public/js/dataent/views/reports/grid_report.js +823,With Ledgers,Tilikirjoissa
apps/dataent/dataent/public/js/dataent/views/image/image_view.js +13,Images,Kuvat
DocType: Activity Log,Reference Owner,Viite omistaja
DocType: User,"If enabled, user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Jos tämä toiminto on käytössä, käyttäjä voi kirjautua mistä tahansa IP-osoitteesta käyttämällä Two Factor Authia. Tämä voidaan myös asettaa kaikille käyttäjille Järjestelmäasetuksissa"
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,Pienin kiertävä osa yksikkö (kolikko). Esim 1 sentin USD ja se pitää syöttää 0.01
DocType: Social Login Key,GitHub,GitHub
apps/dataent/dataent/model/base_document.py +557,"{0}, Row {1}","{0}, Rivi {1}"
apps/dataent/dataent/www/feedback.html +93,Please give a fullname.,Antakaa fullname.
apps/dataent/dataent/model/document.py +1066,Beginning with,Alkaa
apps/dataent/dataent/core/doctype/data_import/exporter.py +53,Data Import Template,tietojen tuonti/lataus mallipohja
apps/dataent/dataent/public/js/dataent/model/model.js +33,Parent,Vanhempi
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Jos käytössä, salasanan vahvuus pannaan täytäntöön perustuu pienin salasanan Score arvoa. Arvo 2 on keskivahva ja 4 on hyvin vahva."
DocType: About Us Settings,"""Team Members"" or ""Management""","""Jäsenet"" tai ""Hallinta"""
